outcome,wins_f1,losses_f1,draws_f1,height_cm_f1,weight_in_kg_f1,reach_in_cm_f1,significant_strikes_landed_per_minute_f1,significant_striking_accuracy_f1,significant_strikes_absorbed_per_minute_f1,significant_strike_defence_f1,average_takedowns_landed_per_15_minutes_f1,takedown_accuracy_f1,takedown_defense_f1,average_submissions_attempted_per_15_minutes_f1,age_f1,stance_Open Stance_f1,stance_Orthodox_f1,stance_Sideways_f1,stance_Southpaw_f1,stance_Switch_f1,stance_Unknown_f1,rolling_win_rate_f1,wins_f2,losses_f2,draws_f2,height_cm_f2,weight_in_kg_f2,reach_in_cm_f2,significant_strikes_landed_per_minute_f2,significant_striking_accuracy_f2,significant_strikes_absorbed_per_minute_f2,significant_strike_defence_f2,average_takedowns_landed_per_15_minutes_f2,takedown_accuracy_f2,takedown_defense_f2,average_submissions_attempted_per_15_minutes_f2,age_f2,stance_Open Stance_f2,stance_Orthodox_f2,stance_Sideways_f2,stance_Southpaw_f2,stance_Switch_f2,stance_Unknown_f2,rolling_win_rate_f2,diff_wins,diff_losses,diff_draws,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_significant_strikes_landed_per_minute,diff_significant_striking_accuracy,diff_significant_strikes_absorbed_per_minute,diff_significant_strike_defence,diff_average_takedowns_landed_per_15_minutes,diff_takedown_accuracy,diff_takedown_defense,diff_average_submissions_attempted_per_15_minutes,diff_age,diff_rolling_win_rate
0,10,3,0,187.96,83.91,187.96,1.69,66.0,2.96,46.0,0.0,0.0,0.0,0.0,34.0,0,0,0,1,0,0,0.4109192890442891,12,6,1,187.96,83.91,195.58,1.3,55.0,2.72,33.0,0.59,50.0,55.0,1.8,31.0,0,1,0,0,0,0,0.3333333333333333,-2,-3,-1,0.0,0.0,-7.6200000000000045,0.3899999999999999,11.0,0.23999999999999977,13.0,-0.59,-50.0,-55.0,-1.8,3.0,0.07758595571095578
0,22,11,1,187.96,92.99,190.5,4.82,53.0,3.0,57.0,0.0,0.0,69.0,0.0,34.0,0,1,0,0,0,0,0.4,12,2,0,190.5,120.2,190.5,5.87,47.0,6.18,38.0,0.0,0.0,100.0,0.0,35.0,0,1,0,0,0,0,0.4109192890442891,10,9,1,-2.539999999999992,-27.210000000000008,0.0,-1.0499999999999998,6.0,-3.1799999999999997,19.0,0.0,0.0,-31.0,0.0,-1.0,-0.010919289044289071
1,8,3,0,175.26,61.23,172.72,4.27,47.0,2.13,59.0,2.02,50.0,66.0,0.3,35.0,0,1,0,0,0,0,1.0,10,3,0,175.26,61.23,172.72,4.13,40.0,3.38,64.0,0.31,100.0,50.0,0.0,30.0,0,1,0,0,0,0,0.3333333333333333,-2,0,0,0.0,0.0,0.0,0.13999999999999968,7.0,-1.25,-5.0,1.71,-50.0,16.0,0.3,5.0,0.6666666666666667
1,15,7,0,165.1,56.7,170.18,3.92,46.0,4.34,61.0,0.7,25.0,67.0,0.0,33.0,0,0,0,1,0,0,0.4,9,3,0,170.18,56.7,167.64,3.8,47.0,2.64,63.0,0.98,42.0,80.0,0.2,36.0,0,1,0,0,0,0,0.6,6,4,0,-5.0800000000000125,0.0,2.5400000000000205,0.1200000000000001,-1.0,1.6999999999999997,-2.0,-0.28,-17.0,-13.0,-0.2,-3.0,-0.19999999999999996
0,14,4,0,170.18,61.23,167.64,2.21,25.0,7.73,38.0,0.0,0.0,0.0,0.0,31.0,0,1,0,0,0,0,0.4109192890442891,10,4,0,170.18,61.23,177.8,3.3,53.0,1.26,74.0,0.0,0.0,66.0,0.0,31.0,0,0,0,1,0,0,1.0,4,0,0,0.0,0.0,-10.160000000000025,-1.0899999999999999,-28.0,6.470000000000001,-36.0,0.0,0.0,-66.0,0.0,0.0,-0.5890807109557109
0,32,6,1,190.5,92.99,203.2,5.61,55.0,5.67,45.0,0.49,60.0,68.0,0.2,33.0,0,1,0,0,0,0,0.6,15,1,0,193.04,92.99,195.58,6.57,55.0,4.03,51.0,0.53,60.0,85.0,0.2,35.0,0,1,0,0,0,0,1.0,17,5,1,-2.539999999999992,0.0,7.619999999999976,-0.96,0.0,1.6399999999999997,-6.0,-0.040000000000000036,0.0,-17.0,0.0,-2.0,-0.4
0,16,1,0,177.8,92.99,180.34,4.4,56.0,3.2,56.0,0.68,20.0,88.0,0.2,37.0,0,0,0,1,0,0,0.8,16,4,0,185.42,92.99,182.88,6.15,59.0,5.96,49.0,0.3,42.0,77.0,0.0,35.0,0,1,0,0,0,0,0.6,0,-3,0,-7.619999999999976,0.0,-2.539999999999992,-1.75,-3.0,-2.76,7.0,0.38000000000000006,-22.0,11.0,0.2,2.0,0.20000000000000007
0,19,6,1,193.04,120.2,203.2,4.18,52.0,2.76,53.0,5.12,47.0,35.0,0.0,35.0,0,1,0,0,0,0,0.6,9,0,0,185.42,107.05,185.42,9.25,62.0,6.81,44.0,3.89,43.0,75.0,0.0,28.0,0,1,0,0,0,0,1.0,10,6,1,7.6200000000000045,13.150000000000006,17.78,-5.07,-10.0,-4.05,9.0,1.23,4.0,-40.0,0.0,7.0,-0.4
1,16,5,0,193.04,92.99,195.58,4.99,53.0,3.4,49.0,0.25,28.0,82.0,0.2,36.0,0,0,0,1,0,0,0.8,22,10,1,198.12,92.99,208.28,3.9,54.0,2.99,46.0,0.36,50.0,57.0,0.7,34.0,0,1,0,0,0,0,0.6,-6,-5,-1,-5.0800000000000125,0.0,-12.699999999999989,1.0900000000000003,-1.0,0.4099999999999997,3.0,-0.10999999999999999,-22.0,25.0,-0.49999999999999994,2.0,0.20000000000000007
1,31,14,0,172.72,65.77,177.8,4.84,51.0,3.99,59.0,1.0,50.0,63.0,0.4,42.0,0,1,0,0,0,0,0.6,18,8,0,175.26,65.77,182.88,5.55,45.0,5.96,51.0,0.73,41.0,71.0,0.7,37.0,0,1,0,0,0,0,0.6,13,6,0,-2.539999999999992,0.0,-5.079999999999984,-0.71,6.0,-1.9699999999999998,8.0,0.27,9.0,-8.0,-0.29999999999999993,5.0,0.0
